,SITEID,FEATURE,TYPE,STRUCTYPEI,STRIKE,DIP,DLAT,DLONG,EASTING,NORTHING,ZONE_,DIP_DIR,geometry
83,TJISIN120670,"Bedding, showing strike and dip",inclined,BEIN,28,62.0,-29.12607,117.25788,525088.0,6778018.0,50,298.0,POINT (525088 6778018)
90,SFCTHU000136,"Bedding, showing strike and dip",inclined,BEIN,320,70.0,-28.95792,117.03882,503785.0,6796676.0,50,230.0,POINT (503785 6796676)
209,KPWCUE000519,"Bedding, showing strike and dip",inclined,BEIN,40,80.0,-27.70957,117.21254,520956.0,6934953.0,50,310.0,POINT (520956 6934953)
163,SFCTHU000025,"Bedding, showing strike and dip",inclined,BEIN,85,80.0,-28.89658,117.09032,508804.0,6803472.0,50,355.0,POINT (508804 6803472)
544,TJIWIN000199,"Bedding, showing strike and dip",inclined,BEIN,280,70.0,-28.14426,118.44684,642075.0,6885971.0,50,190.0,POINT (642075 6885971)
79,SFCTHU000336,"Bedding, showing strike and dip",inclined,BEIN,150,70.0,-28.893316,116.999641,499966.0,6803837.0,50,60.0,POINT (499966 6803837)
370,KPWCUE000512,"Bedding, showing strike and dip",vertical,BEVE,60,90.0,-27.71382,117.2161,521305.0,6934483.0,50,330.0,POINT (521305 6934483)
506,SFCTHU000272,"Bedding, showing strike and dip",inclined,BEIN,325,80.0,-28.859007,116.989286,498955.0,6807633.0,50,235.0,POINT (498955 6807633)
278,IXZBDJ001177,"Bedding, showing strike and dip",inclined,BEIN,260,66.0,-28.71477,116.29103,430756.0,6823411.0,50,170.0,POINT (430756 6823411)
176,SFCTHU000156,"Bedding, showing strike and dip",inclined,BEIN,140,70.0,-28.96419,117.03644,503550.0,6795984.0,50,50.0,POINT (503550 6795984)
145,SFCCGM000585,"Bedding, showing strike and dip",inclined,BEIN,320,70.0,-28.48055,116.7966,480091.0,6849548.0,50,230.0,POINT (480091 6849548)
301,TJIYAL140291,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,198,83.0,-28.31289,116.66731,467381.0,6868092.0,50,108.0,POINT (467381 6868092)
346,SFCTHU000277,"Bedding, showing strike and dip",inclined,BEIN,140,75.0,-28.84248,116.98072,498122.0,6809467.0,50,50.0,POINT (498122 6809467)
158,SFCTHU000054,"Bedding, showing strike and dip",inclined,BEIN,135,80.0,-28.94265,117.03937,503836.0,6798365.0,50,45.0,POINT (503836 6798365)
302,KPWCUE000036,"Bedding, showing strike and dip",inclined,BEIN,245,65.0,-27.67179,117.90098,588855.0,6938829.0,50,155.0,POINT (588855 6938829)
264,SFCWYN000234,"Bedding, showing strike and dip",inclined,BEIN,45,80.0,-27.52006,118.12564,611166.0,6955454.0,50,315.0,POINT (611166 6955454)
188,TJISIN120471,"Bedding, showing strike and dip",inclined,BEIN,81,52.0,-29.05068,117.2217,521581.0,6786379.0,50,351.0,POINT (521581 6786379)
533,TJISIN120458,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,65,52.0,-29.04207,117.23867,523239.0,6787328.0,50,335.0,POINT (523239 6787328)
208,KPWCUE000104,"Bedding, showing strike and dip",inclined,BEIN,208,50.0,-27.68669,117.89985,588730.0,6937179.0,50,118.0,POINT (588730 6937179)
546,TJISIN121008,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,222,85.0,-29.07529,117.30977,530153.0,6783630.0,50,132.0,POINT (530153 6783630)
9,SFCCGM000742,"Bedding, showing strike and dip",inclined,BEIN,322,46.0,-28.41789,116.7157,472155.0,6856470.0,50,232.0,POINT (472155 6856470)
199,SFCTHU000459,"Bedding, showing strike and dip",inclined,BEIN,350,85.0,-29.04758,116.96021,496129.0,6786742.0,50,260.0,POINT (496129 6786742)
184,SFCTHU000173,"Bedding, showing strike and dip",inclined,BEIN,340,80.0,-28.93567,117.02671,502602.0,6799139.0,50,250.0,POINT (502602 6799139)
453,SFCCGM000706,"Bedding, showing strike and dip",inclined,BEIN,353,70.0,-28.47049,116.75678,476191.0,6850652.0,50,263.0,POINT (476191 6850652)
364,TJIWIN090307,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,162,70.0,-28.86833,118.07053,604403.0,6806134.0,50,72.0,POINT (604403 6806134)
580,TJISIN140080,"Bedding, showing strike and dip",inclined,BEIN,358,72.0,-29.41504,117.1891,518342.0,6746017.0,50,268.0,POINT (518342 6746017)
228,SFCWYN000318,"Bedding, showing strike and dip",inclined,BEIN,25,70.0,-27.52918,118.11041,609651.0,6954459.0,50,295.0,POINT (609651 6954459)
84,TJIYAL130442,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,137,70.0,-28.40046,116.47578,448651.0,6858321.0,50,47.0,POINT (448651 6858321)
140,SFCTHU000017,"Bedding, showing strike and dip",inclined,BEIN,218,70.0,-28.90536,117.09404,509166.0,6802494.0,50,128.0,POINT (509166 6802494)
394,KPWCUE000064,"Bedding, showing strike and dip",inclined,BEIN,5,85.0,-27.71007,117.83444,582266.0,6934635.0,50,275.0,POINT (582266 6934635)
155,TJISIN120884,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,9,62.0,-29.0285,117.37722,536733.0,6788798.0,50,279.0,POINT (536733 6788798)
550,SFCWYN000077,"Bedding, showing strike and dip",inclined,BEIN,33,80.0,-27.58564,118.06022,604641.0,6948250.0,50,303.0,POINT (604641 6948250)
132,IXZBDJ000560,"Bedding, showing strike and dip",inclined,BEIN,315,82.0,-28.85805,116.98643,498676.0,6807741.0,50,225.0,POINT (498676 6807741)
450,SFCWYN000260,"Bedding, showing strike and dip",inclined,BEIN,217,80.0,-27.5239,118.14743,613312.0,6955009.0,50,127.0,POINT (613312 6955009)
287,SFCCGM000601,"Bedding, showing strike and dip",inclined,BEIN,310,55.0,-28.43898,116.74011,474551.0,6854139.0,50,220.0,POINT (474551 6854139)
153,SFCWYN000145,"Bedding, showing strike and dip",inclined,BEIN,206,72.0,-27.55272,118.12705,611274.0,6951835.0,50,116.0,POINT (611274 6951835)
109,SFCTHU000478,"Bedding, showing strike and dip",inclined,BEIN,200,84.0,-29.04589,116.99556,499570.0,6786933.0,50,110.0,POINT (499570 6786933)
566,KPWTLR004714,"Bedding, showing strike and dip",vertical,BEVE,45,90.0,-28.08336,115.60585,363019.0,6892779.0,50,315.0,POINT (363019 6892779)
311,SFCWYN000132,"Bedding, showing strike and dip",inclined,BEIN,204,75.0,-27.56982,118.11749,610312.0,6949952.0,50,114.0,POINT (610312 6949952)
247,KPWCUE000491,"Bedding, showing strike and dip",inclined,BEIN,90,80.0,-27.69259,117.23494,523162.0,6936827.0,50,0.0,POINT (523162 6936827)
135,SFCTHU000481,"Bedding, showing strike and dip",inclined,BEIN,185,80.0,-29.05753,116.99412,499426.0,6785638.0,50,95.0,POINT (499426 6785638)
447,TJISIN120094,"Bedding, showing strike and dip",inclined,BEIN,60,80.0,-29.18868,117.02135,502078.0,6771107.0,50,330.0,POINT (502078 6771107)
281,TJISIN100011,"Bedding, showing strike and dip",inclined,BEIN,58,16.0,-29.45522,117.31108,530163.0,6741535.0,50,328.0,POINT (530163 6741535)
75,TJISIN120352,"Bedding, showing strike and dip",inclined,BEIN,67,72.0,-29.083207,117.218563,521273.0,6782774.0,50,337.0,POINT (521273 6782774)
92,TJISIN120273,"Bedding, showing strike and dip",inclined,BEIN,121,56.0,-29.069197,117.26907,526189.0,6784319.0,50,31.0,POINT (526189 6784319)
291,AHHMGI002904,"Bedding, showing strike and dip",inclined,BEIN,240,60.0,-29.52084,117.2262,521921.0,6734285.0,50,150.0,POINT (521921 6734285)
68,SFCWYN000072,"Bedding, showing strike and dip",inclined,BEIN,30,70.0,-27.59041,118.06809,605417.0,6947717.0,50,300.0,POINT (605417 6947717)
15,TJISIN140123,"Bedding, showing strike and dip",vertical,BEVE,318,90.0,-29.44257,117.13999,513575.0,6742970.0,50,228.0,POINT (513575 6742970)
148,IXZBDJ000446,"Bedding, showing strike and dip",strike and dip estimated from aerial photography vertical,BEPV,20,90.0,-28.57467,116.92949,493102.0,6839134.0,50,290.0,POINT (493102 6839134)
238,SFCTHU000055,"Bedding, showing strike and dip",vertical,BEVE,110,90.0,-28.94447,117.04441,504327.0,6798168.0,50,20.0,POINT (504327 6798168)
88,SFCTHU000224,"Bedding, showing strike and dip",inclined,BEIN,355,80.0,-28.96432,117.01359,501323.0,6795966.0,50,265.0,POINT (501323 6795966)
520,CXPNIN000897,"Bedding, showing strike and dip",inclined,BEIN,136,65.0,-29.09735,117.09868,509601.0,6781222.0,50,46.0,POINT (509601 6781222)
117,SFCTHU000372,"Bedding, showing strike and dip",inclined,BEIN,150,70.0,-28.92351,116.98415,498453.0,6800492.0,50,60.0,POINT (498453 6800492)
377,KPWCUE000362,"Bedding, showing strike and dip",inclined,BEIN,180,55.0,-27.50645,117.15062,514877.0,6957460.0,50,90.0,POINT (514877 6957460)
400,SFCCGM000112,"Bedding, showing strike and dip",inclined,BEIN,192,82.0,-28.29786,116.81834,482186.0,6869787.0,50,102.0,POINT (482186 6869787)
33,TJISIN120887,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,40,55.0,-29.04446,117.41835,540732.0,6787019.0,50,310.0,POINT (540732 6787019)
0,CXPNIN000883,"Bedding, showing strike and dip",inclined,BEIN,150,85.0,-29.11085,117.09885,509616.0,6779730.0,50,60.0,POINT (509616 6779730)
587,SFCWYN000246,"Bedding, showing strike and dip",inclined,BEIN,210,78.0,-27.53886,118.13461,612035.0,6953364.0,50,120.0,POINT (612035 6953364)
518,TJIRSY000106,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,290,80.0,-29.10332,117.00584,500569.0,6780566.0,50,200.0,POINT (500569 6780566)
340,TJIGGR130101,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,165,84.0,-28.62232,116.88764,489017.0,6833850.0,50,75.0,POINT (489017 6833850)
496,SFCTHU000046,"Bedding, showing strike and dip",inclined,BEIN,30,70.0,-28.93743,117.07143,506963.0,6798947.0,50,300.0,POINT (506963 6798947)
231,TJISIN120679,"Bedding, showing strike and dip",inclined,BEIN,330,88.0,-29.09963,117.04861,504728.0,6780977.0,50,240.0,POINT (504728 6780977)
485,CMDTOP000062,"Bedding, showing strike and dip",inclined,BEIN,332,70.0,-28.7585,117.66903,565316.0,6818583.0,50,242.0,POINT (565316 6818583)
22,TJIYAL120005,"Bedding, showing strike and dip",inclined,BEIN,185,79.0,-28.28927,116.70831,471397.0,6870718.0,50,95.0,POINT (471397 6870718)
592,TJISIN120888,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,348,69.0,-29.04531,117.41927,540821.0,6786924.0,50,258.0,POINT (540821 6786924)
116,SFCCGM000518,"Bedding, showing strike and dip",inclined,BEIN,315,75.0,-28.38225,116.7036,470961.0,6860415.0,50,225.0,POINT (470961 6860415)
89,TJISIN120623,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,312,80.0,-29.05468,117.28335,527582.0,6785922.0,50,222.0,POINT (527582 6785922)
192,SFCWYN000238,"Bedding, showing strike and dip",inclined,BEIN,230,80.0,-27.51677,118.12874,611475.0,6955820.0,50,140.0,POINT (611475 6955820)
467,TJISIN100018,"Bedding, showing strike and dip",strike and dip estimated from aerial photography 16-45,BEP2,208,0.0,-29.43345,117.30031,529125.0,6743950.0,50,118.0,POINT (529125 6743950)
18,TJISIN140164,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,280,45.0,-29.45905,117.02505,502428.0,6741156.0,50,190.0,POINT (502428 6741156)
360,TJISIN140157,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,328,74.0,-29.47078,117.07574,507344.0,6739853.0,50,238.0,POINT (507344 6739853)
552,SFCTHU000053,"Bedding, showing strike and dip",inclined,BEIN,135,70.0,-28.94172,117.04063,503959.0,6798473.0,50,45.0,POINT (503959 6798473)
144,TJISIN170003,"Bedding, showing strike and dip",inclined,BEIN,115,21.0,-29.405905,117.274302,526609.0,6747010.0,50,25.0,POINT (526609 6747010)
363,TJISIN120890,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,5,70.0,-29.04602,117.41957,540849.0,6786841.0,50,275.0,POINT (540849 6786841)
271,AHHKIR003129,"Bedding, showing strike and dip",vertical,BEVE,45,90.0,-28.9335,117.07012,506835.0,6799379.0,50,315.0,POINT (506835 6799379)
536,TJIYAL140019,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,172,64.0,-28.22371,116.71386,471925.0,6877980.0,50,82.0,POINT (471925 6877980)
355,IXZBDJ001252,"Bedding, showing strike and dip",inclined,BEIN,167,62.0,-28.9603,116.97215,497287.0,6796410.0,50,77.0,POINT (497287 6796410)
245,TJIGGR130295,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,144,84.0,-28.80905,116.99525,499536.0,6813168.0,50,54.0,POINT (499536 6813168)
227,SFCCGM000491,"Bedding, showing strike and dip",inclined,BEIN,305,75.0,-28.44607,116.74265,474799.0,6853353.0,50,215.0,POINT (474799 6853353)
211,SFCCGM000455,"Bedding, showing strike and dip",inclined,BEIN,310,68.0,-28.49903,116.78724,479180.0,6847496.0,50,220.0,POINT (479180 6847496)
395,SFCWYN000066,"Bedding, showing strike and dip",vertical,BEVE,48,90.0,-27.59959,118.06883,605482.0,6946694.0,50,318.0,POINT (605482 6946694)
167,SFCTHU000042,"Bedding, showing strike and dip",inclined,BEIN,20,75.0,-28.92761,117.0757,507377.0,6800032.0,50,290.0,POINT (507377 6800032)
54,TJISIN120842,"Bedding, showing strike and dip",inclined,BEIN,140,76.0,-29.04423,117.04919,504792.0,6787116.0,50,50.0,POINT (504792 6787116)
559,KPWNGH004539,"Bedding, showing strike and dip",inclined,BEIN,275,60.0,-29.07394,117.29406,528619.0,6783787.0,50,185.0,POINT (528619 6783787)
46,TJISIN120611,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,80,77.0,-29.03258,117.27027,526316.0,6788375.0,50,350.0,POINT (526316 6788375)
93,TJIWIN100082,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,182,47.0,-28.96178,118.19536,616476.0,6795663.0,50,92.0,POINT (616476 6795663)
261,SFCBAD000004,"Bedding, showing strike and dip",inclined,BEIN,320,80.0,-28.50617,116.79565,480000.0,6846704.0,50,230.0,POINT (480000 6846704)
108,KPWCUE000048,"Bedding, showing strike and dip",inclined,BEIN,200,50.0,-27.68985,117.92672,591378.0,6936811.0,50,110.0,POINT (591378 6936811)
531,TJIWIN090434,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,1,35.0,-28.04526,118.5062,648040.0,6896870.0,50,271.0,POINT (648040 6896870)
593,IXZBDJ000558,"Bedding, showing strike and dip",vertical,BEVE,160,90.0,-28.83254,116.99128,499150.0,6810566.0,50,70.0,POINT (499150 6810566)
483,TJISIN120970,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,313,55.0,-29.01306,117.34011,533122.0,6790522.0,50,223.0,POINT (533122 6790522)
431,SFCWYN000207,"Bedding, showing strike and dip",inclined,BEIN,35,70.0,-27.53103,118.11735,610334.0,6954250.0,50,305.0,POINT (610334 6954250)
272,TJIYAL130407,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,135,75.0,-28.45314,116.47745,448839.0,6852488.0,50,45.0,POINT (448839 6852488)
375,TJISIN120069,"Bedding, showing strike and dip",inclined,BEIN,138,74.0,-29.10406,117.1001,509740.0,6780479.0,50,48.0,POINT (509740 6780479)
212,KPWTLR004715,"Bedding, showing strike and dip",vertical,BEVE,40,90.0,-28.08367,115.60225,362670.0,6892737.0,50,310.0,POINT (362670 6892737)
537,SFCCGM000530,"Bedding, showing strike and dip",inclined,BEIN,300,60.0,-28.4302,116.73737,474279.0,6855110.0,50,210.0,POINT (474279 6855110)
334,KPWCUE000343,"Bedding, showing strike and dip",inclined,BEIN,186,48.0,-27.56753,117.13555,513382.0,6950697.0,50,96.0,POINT (513382 6950697)
586,SFCREE000683,"Bedding, showing strike and dip",inclined,BEIN,150,80.0,-27.50365,118.26242,624692.0,6957146.0,50,60.0,POINT (624692 6957146)
69,SFCWYN000048,"Bedding, showing strike and dip",vertical,BEVE,30,90.0,-27.67622,118.04191,602752.0,6938231.0,50,300.0,POINT (602752 6938231)
578,SFCCGM000091,"Bedding, showing strike and dip",inclined,BEIN,173,65.0,-28.29098,116.83888,484201.0,6870551.0,50,83.0,POINT (484201 6870551)
398,SFCCGM000684,"Bedding, showing strike and dip",inclined,BEIN,325,65.0,-28.48279,116.77779,478252.0,6849297.0,50,235.0,POINT (478252 6849297)
275,KPWCUE000066,"Bedding, showing strike and dip",vertical,BEVE,25,90.0,-27.70882,117.82435,581273.0,6934781.0,50,295.0,POINT (581273 6934781)
532,SFCCGM000739,"Bedding, showing strike and dip",inclined,BEIN,325,65.0,-28.42492,116.71449,472039.0,6855695.0,50,235.0,POINT (472039 6855695)
457,TJISIN120629,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,315,68.0,-29.05893,117.28813,528049.0,6785451.0,50,225.0,POINT (528049 6785451)
250,SFCTHU000295,"Bedding, showing strike and dip",vertical,BEVE,340,90.0,-28.85819,116.9582,495921.0,6807728.0,50,250.0,POINT (495921 6807728)
149,TJIWIN000242,"Bedding, showing strike and dip",inclined,BEIN,330,20.0,-28.96926,118.26356,623111.0,6794762.0,50,240.0,POINT (623111 6794762)
124,SFCCGL000029,"Bedding, showing strike and dip",inclined,BEIN,190,75.0,-28.31932,116.80251,480639.0,6867411.0,50,100.0,POINT (480639 6867411)
423,SFCWYN000144,"Bedding, showing strike and dip",inclined,BEIN,205,60.0,-27.55314,118.12905,611472.0,6951789.0,50,115.0,POINT (611472 6951789)
462,TJISIN120032,"Bedding, showing strike and dip",inclined,BEIN,210,42.0,-29.23032,116.93129,493324.0,6766497.0,50,120.0,POINT (493324 6766497)
185,SFCTHU000145,"Bedding, showing strike and dip",inclined,BEIN,120,76.0,-28.94892,117.04507,504394.0,6797673.0,50,30.0,POINT (504394 6797673)
259,SFCCGY000027,"Bedding, showing strike and dip",inclined,BEIN,36,82.0,-28.41226,116.84732,485044.0,6857122.0,50,306.0,POINT (485044 6857122)
286,SFCREE000699,"Bedding, showing strike and dip",inclined,BEIN,48,70.0,-27.50177,118.24034,622515.0,6957377.0,50,318.0,POINT (622515 6957377)
441,KPWCUE000514,"Bedding, showing strike and dip",inclined,BEIN,40,80.0,-27.71268,117.21454,521147.0,6934603.0,50,310.0,POINT (521147 6934603)
503,SFCCGM000660,"Bedding, showing strike and dip",inclined,BEIN,315,85.0,-28.5121,116.81061,481470.0,6846053.0,50,225.0,POINT (481470 6846053)
244,TJISIN120052,"Bedding, showing strike and dip",inclined,BEIN,293,70.0,-29.12151,117.02921,502843.0,6778553.0,50,203.0,POINT (502843 6778553)
438,SFCCGL000080,"Bedding, showing strike and dip",inclined,BEIN,172,60.0,-28.2556,116.80584,480953.0,6874469.0,50,82.0,POINT (480953 6874469)
361,KPWTLR004745,"Bedding, showing strike and dip",inclined,BEIN,55,70.0,-28.01239,115.92879,394685.0,6900966.0,50,325.0,POINT (394685 6900966)
547,AHHKIR003124,"Bedding, showing strike and dip",inclined,BEIN,110,60.0,-28.90393,117.06554,506390.0,6802655.0,50,20.0,POINT (506390 6802655)
449,KPWCUE000033,"Bedding, showing strike and dip",inclined,BEIN,190,85.0,-27.71725,117.901,588819.0,6933796.0,50,100.0,POINT (588819 6933796)
114,SFCCGM000748,"Bedding, showing strike and dip",inclined,BEIN,300,74.0,-28.42114,116.74379,474906.0,6856121.0,50,210.0,POINT (474906 6856121)
203,SFCCGM000386,"Bedding, showing strike and dip",inclined,BEIN,5,70.0,-28.33569,116.82338,482686.0,6865599.0,50,275.0,POINT (482686 6865599)
141,TJISIN120893,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,172,65.0,-29.05448,117.414,540305.0,6785910.0,50,82.0,POINT (540305 6785910)
333,TJISIN120639,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,65,64.0,-29.05503,117.31755,530911.0,6785876.0,50,335.0,POINT (530911 6785876)
7,SFCCGM000001,"Bedding, showing strike and dip",inclined,BEIN,30,70.0,-28.26531,116.74124,474622.0,6873378.0,50,300.0,POINT (474622 6873378)
516,SFCCGM000513,"Bedding, showing strike and dip",inclined,BEIN,310,70.0,-28.38495,116.69872,470485.0,6860116.0,50,220.0,POINT (470485 6860116)
19,TJIDAL180218,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,113,61.0,-27.69133,117.2358,523247.0,6936967.0,50,23.0,POINT (523247 6936967)
172,SFCWYN000118,"Bedding, showing strike and dip",inclined,BEIN,25,75.0,-27.58962,118.10609,609167.0,6947766.0,50,295.0,POINT (609167 6947766)
446,SFCTHU000120,"Bedding, showing strike and dip",inclined,BEIN,155,80.0,-28.9444,117.03447,503361.0,6798174.0,50,65.0,POINT (503361 6798174)
